english,japanese,pos,en_sentence,jp_sentence
either,どちらか,形容詞,You may take either the big box or the small one.,君は大きい箱か小さい箱のどちらかをとっていいよ。
else,その他に；さもないと,副詞,I won't ask you anything else today.,今日はもう聞かないよ。
elsewhere,どこか他の所で,副詞,She went shopping elsewhere.,彼女はどこか他に買い物に行った。
employ,雇う,動詞,You must employ your capital well.,君は資金をうまく運転しなくてはならない。
employee,従業員,名詞,The outraged employee resigned at once.,かんかんに怒った社員は、即刻会社を辞めた。
employer,雇用主,名詞,Tim's employer promised him pie-in-the-sky benefits.,ティムの社長はあてにならないもうけ話をティムに約束した。
employment,雇用,名詞,Workers are taking a financial beating in the employment crisis.,雇用危機の中で労働者は金銭的打撃を受けています。
empty,空っぽの,形容詞,My life would be completely empty without you.,君がいなければ私の人生は全くむなしいだろう。
engine,エンジン,名詞,The engine has broken down again.,またエンジンが故障した。
enjoy,楽しむ,動詞,"I'm glad you enjoy skiing, but I guess it's just not my cup of tea.",君がスキーを楽しむのは嬉しいが、私の趣味じゃないようだ。
enough,十分な，十分に,形容詞,You are not old enough to go swimming by yourself.,君は独りで泳ぎに行ける歳ではない。
enter,入る,動詞,Take off your hat when you enter a classroom.,教室に入る時は帽子を脱ぎなさい。
especially,特に,副詞,You should especially not drink on an empty stomach.,とりわけ空腹に酒はいけない。
even,更に,副詞,Don't you even think of eating my chocolate!,私のチョコレートを食べることを考えさえしないで。
evening,夕方；晩,名詞 ,He spent the evening reading a book.,彼は夕方本を読んで過ごしました。
ever,今までに；絶対に；ずっと；いつか；いったい,副詞,That's the stupidest thing I've ever said.,こんな馬鹿なことは言ったことが無い。
every,すべての；毎～,限定詞,"Back in high school, I got up at 6 a.m. every morning.",高校生の時は毎朝6時に起きていた。
everybody,みんな；誰でも,代名詞,It was apparent to everybody that our team was stronger.,我々のチームのほうが強いのはだれの目にも明らかであった。
everyday,毎日；日常の,形容詞,In everyday life we have many obligations and responsibilities.,我々は、日常生活の中に多くの義務や責任を担っている。
everyone,みんな；誰でも,代名詞,I can only wonder if this is the same for everyone else.,みんなもそうなのかな、と思うことくらいしかできない。
everything,すべてのこと・もの,代名詞,One can't expect everything from schools.,学校に全てを求めることはできない。
everywhere,どこでも；どこで～しても,副詞,People everywhere yearn for public leaders dedicated to world peace.,あらゆる所の人々が世界平和に尽くす民衆の指導者を切望している。
exact,正確な,形容詞,Scholarship must always be exact whether it is interesting or not.,学問は興味を持たせる物であろうとなかろうと、常に正確でなければならない。
exactly,正確に,副詞,Maybe it will be exactly the same for him.,たぶん彼にしてみれば同じことよ。
except,～を除いて；～以外,前置詞,All the compositions were good except yours.,君の作文以外の作文はみなよく書けていた。
excite,刺激する；興奮させる,動詞,She looked excited.,彼女は興奮しているように見えた。
excitement,興奮；刺激,名詞,The excitement reached its peak.,興奮は極点に達した。
excuse,免除する,動詞,You always excuse your faults by blaming others.,君はいつも自分の過失を他人のせいにしている。
expect,予期する；期待する,動詞,One can't expect everything from schools.,学校に全てを求めることはできない。
expectation,予想；期待,名詞,"Sorry to say, that expectation was ill-founded.",残念ながらその予想は外れてしまった。
expensive,値段が高い,形容詞,Your watch is more expensive than mine.,君の時計の方が私の時計より値段が高い。
experience,経験,名詞,Have you had any experience with this kind of work?,君はこういう仕事に経験がありますか。
explain,説明する,動詞,It would take forever for me to explain everything.,いつまでかかっても全部を説明するのは無理だ。
explanation,説明,名詞,Your explanation won't wash; it's too improbable to be true.,君の説明は見えすいている。とても本当とは思えないよ。
express,表す；述べる,動詞,The express train does not stop between Shibuya and Naka-Meguro.,急行列車は渋谷駅から中目黒駅まで停車しません。
expression,表現；表情,名詞,Crying is an expression of grief.,泣く事は悲しみの表現だ。
extra,余分の，余分なもの,形容詞,My wife's part-time job brings in a little extra money.,家内のパートの仕事で少々余分な金が入る。
eye,目,名詞,"An eye for an eye, a tooth for a tooth.",目には目を、歯には歯を。
face,顔,名詞,Half a million children still face malnutrition in Niger.,ニジェールでは50万人もの子供たちが未だ栄養失調に直面している。
fact,事実,名詞,You should make sure of the fact without hesitation.,君はためらわずに事実を確かめるべきだ。
fair,公正な；公平な,形容詞,The sky promises fair weather.,この空模様ではよい天気になりそうだ。
fairly,かなり,副詞,"Unless it's something fairly impressive, I won't remember it.",よっぽど印象に残る事じゃないと覚えてないんだよね。
